velx,vely,velz,posx,posy,posz
64.231,-186.978,-17.059,-2.389,-1.406,-0.218
159.998,86.680,-53.792,1.499,-1.135,-0.259
-190.174,-23.642,-28.443,-0.808,5.538,0.628
-160.371,64.941,-40.958,1.372,2.359,0.063
-74.705,71.969,-3.614,1.182,2.033,0.131
66.042,-207.545,0.164,-4.825,-1.886,-0.247
144.176,156.735,18.893,5.026,-4.152,-0.109
-63.514,-134.971,41.097,-2.287,0.914,0.091
-130.071,-191.170,7.238,-6.369,2.753,0.169
73.320,-132.709,-13.694,-2.680,-1.855,-0.363
3.616,-67.591,12.295,-0.280,0.529,0.283
-165.153,-136.535,-4.481,-3.516,3.171,0.117
9.064,71.864,-29.446,1.181,0.187,-0.057
113.645,91.278,47.489,0.290,-1.352,0.096
103.236,-199.051,-5.730,-15.294,-7.498,-0.100
208.784,77.690,-17.148,1.065,-4.041,-0.307
114.428,194.675,-15.441,1.671,-1.354,0.214
-181.110,8.486,-34.636,0.553,3.524,-0.161
192.224,-97.170,12.281,-4.573,-10.220,-0.027
122.285,-92.789,-36.457,-1.477,-1.484,-0.126
210.845,75.546,4.320,5.483,-15.105,-0.074
-212.218,-75.802,7.385,-4.860,12.695,0.121
110.440,178.760,36.846,4.133,-3.536,-0.186
181.425,116.003,-3.932,4.713,-7.258,-0.681
-105.215,194.226,-15.677,6.154,3.449,0.229
163.914,-96.778,38.640,-2.057,-2.931,0.081
19.631,-96.441,66.018,-1.184,-0.459,0.197
-68.290,118.962,54.423,2.389,1.429,0.029
-64.599,-74.720,9.682,-1.603,1.811,-0.188
182.543,-12.059,-70.785,-0.171,-1.828,0.010
175.411,-37.358,-17.184,-0.347,-4.695,-0.815
7.858,-1.133,-32.827,0.269,0.374,-0.171
14.882,-235.491,41.831,-3.659,-0.461,-0.045
114.396,150.256,66.497,2.640,-2.490,0.069
-212.149,-3.478,2.144,-0.824,5.511,0.121
185.652,-139.799,6.070,-7.961,-10.085,-0.075
232.111,10.762,-43.437,-0.057,-3.440,0.047
52.007,-4.901,60.118,-0.547,-1.324,0.061
-267.253,90.095,35.465,1.656,5.177,0.112
92.046,239.417,0.668,6.267,-3.032,0.017
-77.091,-108.726,49.403,-2.361,0.538,0.278
213.008,-50.887,-6.823,-2.830,-10.267,-0.105
144.992,-182.316,12.355,-10.006,-8.323,0.201
214.791,-63.984,3.294,-2.632,-8.300,0.065
223.740,-80.029,-10.836,-2.040,-7.846,-0.031
148.795,165.215,-12.104,2.742,-3.833,0.456
-105.753,89.942,-6.418,2.311,2.368,0.216
-171.822,143.050,-22.186,4.095,4.015,0.299
236.525,-11.286,11.280,-1.513,-13.373,-0.060
163.045,181.397,6.955,4.263,-5.085,-0.032
72.519,-92.128,-42.450,-2.147,-1.424,-0.443
211.877,-49.690,-20.582,0.479,-3.562,0.004
84.294,90.119,13.077,2.345,-1.304,0.791
62.144,-9.572,-1.401,-0.083,-0.664,0.312
-104.550,198.283,6.172,17.884,9.505,0.394
147.330,164.371,21.001,4.048,-3.596,0.689
-144.096,-100.779,-1.854,-1.106,1.626,-0.306
52.201,212.969,-0.337,31.906,-8.082,0.112
204.516,106.036,-7.900,4.320,-7.876,0.032
-126.624,205.176,-30.281,5.010,2.376,-0.005
-89.483,-218.608,-10.434,-12.619,4.989,-0.181
47.230,-181.643,12.538,-3.651,-0.374,-0.035
172.887,69.149,-32.689,0.470,-3.548,0.388
216.996,34.898,20.853,1.232,-9.059,-0.127
206.777,-25.859,-32.663,-0.267,-2.202,-0.102
158.319,-177.927,-12.322,-3.070,-2.168,0.319
-221.081,25.020,-16.112,0.345,4.308,0.324
-1.961,190.812,-17.359,4.203,-0.358,-0.187
-124.280,-160.967,-21.229,-3.781,2.832,-0.196
-132.477,-59.486,-41.101,-1.009,1.128,0.321
-232.778,2.591,-21.767,-0.189,5.186,-0.027
-257.316,26.188,9.717,-0.131,8.098,-0.200
-144.446,202.797,14.303,5.331,3.170,0.396
61.902,227.658,5.230,11.079,-3.258,0.008
-10.440,-228.082,4.169,-7.385,-0.531,0.199
-219.053,-84.221,-7.326,-2.436,3.525,-0.327
-174.350,-116.438,7.551,-1.853,3.492,0.098
-207.362,32.563,-28.151,1.643,6.541,-0.490
-155.574,186.177,18.909,6.728,4.684,-0.205
-187.024,152.866,7.338,4.104,5.455,-0.243
-205.826,111.581,-56.923,2.105,4.070,0.655
-119.645,74.891,16.157,0.999,2.621,0.123
-155.248,147.083,-34.722,3.672,3.705,0.123
0.062,78.636,-45.509,3.130,1.385,0.320
86.252,200.930,-40.230,8.201,-3.761,-0.182
-131.443,178.031,-29.110,8.871,7.401,-0.190
-0.987,-163.773,-6.871,-2.686,-1.015,-0.002
-227.220,-17.277,10.602,0.998,2.030,-0.033
16.683,111.877,23.054,2.353,-0.834,0.381
51.152,-156.832,-5.819,-2.584,-0.745,-0.085
206.744,36.560,15.953,1.379,-4.001,-0.145
195.618,-81.094,27.286,-3.360,-4.183,0.327
93.564,-210.802,-12.125,-10.699,-4.040,0.083
-220.874,-27.722,-4.025,-1.261,9.670,-0.585
73.073,-129.116,-13.596,-2.936,-0.363,-0.290
-52.644,-11.475,-12.448,-0.395,-0.216,0.137
66.179,-139.632,17.830,-1.616,-2.022,-0.034
173.596,-69.424,-15.470,-1.039,-3.895,0.144
-220.859,25.561,2.506,2.233,18.117,0.173
-13.634,-232.389,2.621,-15.749,0.930,0.023
-202.710,96.253,-12.827,2.804,7.048,-0.253
37.550,-220.810,-18.894,-5.565,-1.299,-0.131
-15.108,-160.414,60.577,-1.962,0.145,-0.071
-145.358,-118.817,28.495,-4.266,5.296,-0.266
30.127,21.955,22.066,1.041,0.050,-0.191
-151.599,-173.361,23.953,-3.106,3.087,0.444
-155.286,-90.839,0.407,-1.538,2.432,-0.039
-40.398,-225.792,24.080,-6.235,2.469,0.075
-211.772,27.080,-27.827,0.386,6.701,-0.763
-164.451,158.193,6.424,12.341,12.419,-0.351
221.061,78.067,-1.506,4.421,-11.270,0.072
-31.093,119.729,14.907,2.882,1.424,0.397
-221.058,-35.782,-15.573,-1.943,8.825,0.167
108.418,-17.335,-24.333,-0.398,-0.922,-0.286
26.974,-104.889,-40.438,-0.922,-0.245,-0.241
-52.475,157.677,-82.880,1.915,-1.006,0.310
-76.125,-94.922,-40.640,-0.468,1.193,0.210
109.305,187.524,-25.870,6.445,-3.397,0.061
222.154,-123.757,24.608,-2.604,-5.925,0.055
114.801,201.456,8.878,8.192,-4.655,0.242
184.830,60.761,38.905,1.316,-3.063,0.401
-4.927,-140.525,-29.506,-1.596,0.028,0.229
230.588,56.954,21.696,1.130,-7.498,-0.016
52.592,-155.081,23.440,-1.862,-0.298,-0.419
-189.398,121.539,-37.987,4.415,4.223,0.695
7.896,-215.920,1.429,-6.228,-1.210,-0.013
-160.854,-5.525,-21.306,-0.330,3.216,-0.098
135.161,109.847,20.878,1.721,-1.820,0.298
-20.912,-127.013,42.856,-1.345,0.278,-0.237
-219.210,15.432,-1.725,-0.050,4.654,-0.411
82.222,137.459,28.130,3.116,-2.044,-0.170
162.045,-54.258,63.043,-0.723,-3.222,-0.049
-92.550,-116.374,0.670,-2.060,1.967,0.128
0.303,190.562,-10.951,4.356,0.347,0.059
142.077,86.064,-185.694,0.353,-0.216,-0.081
150.980,-170.988,-2.954,-8.665,-7.242,-0.513
45.712,224.223,1.262,4.507,-0.857,-0.057
58.937,52.540,55.743,-0.203,-0.129,0.132
64.860,32.634,-71.354,-0.004,-0.001,0.059
-43.181,212.783,-12.817,6.459,1.644,-0.044
141.355,-168.693,5.916,-3.174,-1.714,0.022
97.141,176.310,-14.426,3.558,-1.106,0.213
-173.241,149.965,9.810,10.645,11.020,-0.326
-206.611,32.066,-1.337,1.953,8.878,0.147
-140.671,210.181,-36.807,2.368,1.661,-0.028
177.853,-176.510,-6.994,-4.548,-4.431,-0.068
-149.685,172.640,-19.781,5.842,5.581,0.402
47.443,-178.404,3.611,-5.659,-1.771,0.198
-44.404,-49.807,-115.425,-0.285,1.633,0.268
-154.862,-153.662,-10.509,-5.455,6.106,0.220
-101.107,-44.594,25.334,-0.886,3.068,-0.085
-114.064,-212.466,3.644,-6.335,2.235,-0.037
36.831,-204.925,15.407,-4.611,-0.484,0.051
195.832,-92.392,-25.529,-4.826,-7.172,0.225
173.706,165.304,11.188,4.893,-5.823,-0.715
-15.957,74.375,-47.062,0.142,0.210,-0.210
89.246,213.822,9.902,13.647,-4.900,0.122
174.387,-126.977,-26.710,-2.746,-3.516,-0.143
-135.397,-171.157,11.739,-7.100,4.540,-0.097
-94.113,115.961,-18.680,3.314,1.987,-0.010
-56.755,150.346,-31.771,3.016,0.931,-0.046
145.014,-106.567,-18.597,-2.549,-2.901,-0.203
224.812,-59.255,-5.159,-2.132,-11.450,0.346
-140.151,95.372,-52.486,1.708,2.713,0.096
0.691,-208.377,-26.207,-5.530,0.677,0.346
-18.237,45.161,-87.435,-0.839,0.686,-0.162
77.142,-64.374,-22.524,-1.256,-0.948,-0.619
0.168,-226.278,7.697,-7.686,0.440,-0.293
-82.156,-85.847,-7.409,-1.347,0.650,-0.046
-5.414,112.334,-52.818,2.877,1.274,0.150
-128.383,-206.750,29.720,-5.371,2.661,0.283
-157.479,-27.854,-35.688,-1.651,3.346,0.432
198.671,-66.028,-13.959,-2.141,-4.664,0.337
112.961,162.313,-3.984,2.326,-1.038,-0.133
-29.090,-23.799,33.394,-0.198,-0.277,0.076
146.809,-182.733,-6.107,-4.489,-3.363,-0.252
206.563,-26.889,28.869,-0.408,-5.378,-0.044
2.447,196.066,22.523,3.731,0.384,0.016
-59.793,227.381,-0.174,10.341,2.918,-0.380
205.737,-148.524,31.854,-4.170,-4.844,-0.140
38.264,224.181,-104.411,1.782,-0.106,0.126
-67.258,155.153,-41.989,1.316,-0.119,-0.034
163.607,-164.873,-7.379,-2.643,-3.115,0.308
72.221,192.330,-0.301,3.735,-1.692,0.136
-68.436,-20.967,-27.616,-0.842,0.329,-0.206
-26.985,70.915,13.006,0.862,0.672,0.092
117.068,79.503,18.176,1.331,-2.945,0.121
78.997,-214.571,3.517,-2.746,-2.018,0.547
103.742,-141.044,68.944,-2.608,-1.482,-0.204
-128.036,192.669,41.113,2.790,1.330,0.222
76.928,-200.969,8.575,-10.857,-4.108,0.084
-83.405,209.018,-22.193,6.422,2.108,0.005
-118.769,-201.588,12.771,-6.393,2.589,-0.275
23.559,-36.660,-58.595,-0.569,-0.066,-0.480
65.298,244.428,-5.835,6.834,-1.506,-0.451
235.653,37.159,-3.904,1.237,-8.540,-0.090
-92.545,-185.747,-7.439,-4.094,1.701,0.126
104.077,-24.903,-69.227,0.346,-1.078,-0.126
-37.218,-149.001,41.319,-1.875,0.421,0.303
173.649,144.697,6.064,6.620,-7.308,0.079
134.090,71.064,-31.840,-0.011,-3.520,0.105
-240.432,12.772,7.939,0.881,11.748,-0.059
-102.877,-69.375,-44.504,-0.253,1.951,-0.121
118.236,1.889,26.595,-0.171,-3.002,0.010
-1.656,-229.133,3.818,-6.130,0.098,0.165
-103.986,180.609,15.939,3.991,4.034,0.155
-108.768,185.717,-20.970,4.059,2.405,-0.518
-45.712,-97.788,3.407,-1.080,0.921,-0.442
227.947,-66.130,10.738,-3.886,-12.131,0.222
241.905,7.550,8.794,0.090,-8.932,-0.080
-84.015,74.026,22.193,0.723,0.907,-0.247
68.301,219.551,7.608,1.137,-0.635,0.047
232.940,95.831,10.247,1.734,-5.816,-0.332
-218.434,103.848,20.433,3.503,5.566,0.212
211.378,-29.670,-6.861,-0.035,-3.849,0.071
-187.467,-26.557,-12.530,0.449,2.925,0.072
204.812,-96.292,-2.821,-5.972,-13.065,-0.191
-49.060,-81.740,-49.808,-0.674,1.614,-0.045
-242.446,-39.289,34.651,-0.628,6.590,-0.457
92.747,151.775,-7.023,2.834,-1.537,0.147
47.300,95.622,24.620,0.627,-0.649,0.001
239.947,22.876,19.307,0.666,-5.676,0.386
-139.519,43.972,-1.920,-0.484,2.676,0.143
-17.986,190.774,-65.403,3.800,0.592,-0.060
148.781,167.311,-1.636,9.157,-7.340,-0.100
147.667,168.327,-4.351,4.789,-5.203,-0.150
17.447,82.777,-0.197,0.882,0.371,0.090
-1.624,241.024,-6.922,11.120,0.270,-0.048
-218.563,83.678,4.096,3.339,7.286,-0.057
-86.760,159.650,17.621,2.732,2.192,0.296
126.669,-83.447,-10.781,-0.783,-1.252,0.420
-218.186,121.743,-37.280,0.948,2.850,-0.367
226.178,-5.094,-5.983,-0.863,-6.933,0.036
100.321,-121.773,-10.246,-1.291,-2.106,0.006
182.584,71.680,32.148,2.777,-5.046,0.076
9.206,193.870,47.878,0.488,-0.162,0.095
-103.125,207.736,8.197,6.531,3.701,0.329
116.650,78.217,-2.303,0.360,-1.779,-0.117
90.528,-206.421,-15.848,-6.668,-3.439,-0.023
204.655,-90.653,2.937,-4.004,-8.910,-0.070
152.993,182.679,-10.946,11.130,-8.622,0.822
-138.023,-105.337,-12.004,-2.584,3.836,0.413
234.257,4.342,-6.252,0.079,-6.491,-0.134
-153.163,73.460,34.365,0.966,3.104,0.196
-188.655,-83.255,-17.759,-2.300,6.877,0.277
-77.359,255.060,-3.448,7.619,2.354,0.207
-85.272,213.893,-2.776,13.710,5.666,0.197
-199.908,-10.891,16.328,-0.590,5.562,0.234
-109.040,-184.210,4.978,-8.824,4.339,-0.194
17.899,-248.038,-15.668,-8.244,-1.656,-0.135
236.477,-55.101,-0.324,-2.018,-8.877,0.234
82.422,-223.963,-0.367,-8.912,-2.882,0.161
193.408,33.323,43.989,0.362,-3.208,0.029
157.349,26.257,-52.845,0.415,-3.492,-0.288
38.441,-224.484,-29.760,-4.132,-0.892,-0.347
-66.884,226.147,37.298,4.731,1.793,0.516
-16.696,-223.746,23.167,-5.625,-0.124,0.143
100.588,188.476,20.313,5.650,-3.608,-0.089
0.343,-233.967,-0.109,-6.929,0.532,0.110
220.749,-25.650,-1.664,-2.977,-26.095,-0.265
-152.157,121.696,-43.493,2.272,3.024,-0.063
52.756,-170.251,-5.800,-3.731,-1.461,-0.029
73.207,18.020,67.594,0.042,-0.332,-0.320
81.218,-193.834,-5.188,-4.161,-1.033,0.262
-146.670,163.053,-43.354,1.859,1.898,-0.211
-87.141,17.529,12.906,-1.840,1.594,0.237
-19.639,-93.426,48.229,-1.902,0.194,-0.152
-114.873,-197.289,-3.300,-16.879,9.384,0.298
97.214,-125.642,3.663,-3.321,-2.464,-0.141
-96.226,203.165,1.395,20.322,9.623,-0.009
194.046,-22.593,-32.519,0.541,-3.247,0.278
-75.399,234.882,-31.923,2.425,0.316,-0.575
211.198,99.256,-21.558,4.219,-5.094,0.124
-13.408,-223.882,-7.875,-11.318,0.922,-0.076
130.584,197.464,-5.432,9.487,-6.153,0.200
33.784,-173.427,18.359,-3.645,-1.028,0.123
102.063,-73.440,-60.922,-1.638,-3.023,-0.114
-231.407,-58.945,12.125,-2.774,8.200,-0.311
143.249,-139.188,71.993,-2.256,-2.951,0.136
175.388,50.894,7.591,0.276,-2.555,-0.265
-202.781,115.864,-16.489,3.237,6.304,-0.106
-27.427,11.694,14.006,0.792,0.697,0.052
13.093,166.253,-19.240,3.268,-0.942,0.173
12.886,-269.560,15.254,-5.080,0.428,0.025
-132.595,-4.184,54.155,0.904,1.755,0.124
-218.370,-92.797,4.618,-4.451,11.176,0.310
-215.334,32.845,-0.639,1.906,12.100,-0.347
159.537,154.806,-13.555,3.685,-3.760,-0.376
159.579,44.502,-21.680,1.037,-2.166,0.395
129.585,65.798,32.236,0.814,-1.336,-0.180
55.708,188.623,-9.269,4.034,-2.419,-0.546
195.040,61.835,-11.153,1.759,-7.668,-0.313
-83.758,-215.811,6.332,-12.412,4.994,-0.675
-28.692,155.120,-51.295,2.425,0.219,-0.038
170.350,27.334,72.217,-0.246,-2.176,0.024
26.523,251.051,-30.716,3.410,-0.222,0.009
83.650,90.926,53.882,1.388,-1.401,-0.024
67.895,150.796,-55.379,2.188,0.163,0.107
125.236,-173.145,-13.553,-5.855,-3.317,-0.104
145.098,149.316,-34.471,4.370,-2.926,-0.246
-210.759,-35.907,-8.450,-0.730,3.451,-0.223
215.840,-114.630,5.677,-2.967,-5.952,0.153
121.081,-176.919,-25.855,-4.221,-2.645,-0.057
-10.227,-79.392,13.892,-2.568,0.060,0.085
98.181,229.040,-8.165,5.083,-1.546,-0.188
-181.724,-63.494,-7.703,-1.088,3.878,-0.032
52.725,76.200,15.392,0.597,-0.050,-0.016
-118.015,208.224,10.286,4.824,3.084,-0.075
-53.314,-96.488,-8.253,-1.857,0.782,0.010
136.053,-194.139,6.951,-9.881,-6.844,-0.091
3.211,256.504,39.131,4.847,-1.093,0.452
144.433,186.248,-15.692,4.842,-4.190,0.021
-51.193,30.807,50.199,0.044,0.325,0.082
165.130,-185.948,-2.162,-3.885,-2.872,0.159
-215.630,16.954,21.028,0.673,7.914,0.275
-31.163,-157.471,-0.850,-2.932,0.423,-0.098
-128.240,16.630,31.650,-0.284,2.019,0.299
167.233,55.861,-20.134,0.673,-2.664,0.043
1.301,-220.644,-17.200,-12.318,0.453,-0.017
-32.802,94.992,-32.550,0.342,0.152,-0.071
36.434,-238.060,9.686,-9.634,-1.360,0.926
-126.739,-202.459,-24.676,-5.431,2.387,-0.258
100.403,44.926,6.261,0.407,-2.857,-0.092
226.353,37.603,-13.995,0.520,-7.778,0.031
98.483,-69.202,72.160,-0.898,-2.304,0.084
-24.380,-206.040,10.168,-5.857,0.119,-0.221
-237.118,51.574,-26.124,1.151,5.857,-0.164
139.004,-58.649,-13.902,-1.116,-2.629,0.382
11.421,-191.524,-25.596,-2.907,0.063,-0.081
148.266,-182.925,12.235,-10.678,-8.892,-0.047
-97.003,224.515,-13.344,9.083,3.592,-0.091
112.179,-56.769,107.482,-0.531,-1.402,0.290
205.368,12.304,-21.052,0.188,-3.158,-0.154
